num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
6,0.007698,0.000912,0.006786,0.007698,11.84,40
5,0.010023,0.000663,0.009360,0.010023,6.62,40
2,0.008213,0.000359,0.007854,0.008213,4.37,40
4,0.008139,0.000657,0.007482,0.008139,8.07,40
2,0.007751,0.000360,0.007391,0.007751,4.64,40
4,0.007573,0.000646,0.006927,0.007573,8.53,40
6,0.010413,0.001620,0.008794,0.010413,15.56,40
5,0.009187,0.001209,0.007979,0.009187,13.16,40
3,0.007886,0.000438,0.007448,0.007886,5.55,40
5,0.007003,0.000749,0.006254,0.007003,10.70,40
5,0.007554,0.000694,0.006860,0.007554,9.18,40
2,0.006963,0.000375,0.006588,0.006963,5.39,40
4,0.007923,0.000660,0.007263,0.007923,8.33,40
4,0.007080,0.000691,0.006389,0.007080,9.76,40
4,0.006419,0.000587,0.005832,0.006419,9.14,40
3,0.006726,0.000494,0.006232,0.006726,7.34,40
4,0.006870,0.000621,0.006249,0.006870,9.04,40
4,0.006403,0.000640,0.005763,0.006403,10.00,40
5,0.006358,0.000728,0.005630,0.006358,11.45,40
3,0.005751,0.000413,0.005338,0.005751,7.18,40
6,0.007210,0.000758,0.006452,0.007210,10.51,40
6,0.006816,0.000766,0.006051,0.006816,11.23,40
2,0.006514,0.000359,0.006155,0.006514,5.51,40
5,0.006204,0.000834,0.005370,0.006204,13.44,40
3,0.006446,0.000431,0.006015,0.006446,6.69,40
3,0.006441,0.000475,0.005967,0.006441,7.37,40
6,0.007159,0.000805,0.006354,0.007159,11.25,40
5,0.007890,0.000975,0.006914,0.007890,12.36,40
4,0.006122,0.000669,0.005452,0.006122,10.93,40
3,0.006322,0.000473,0.005848,0.006322,7.49,40
2,0.006179,0.000359,0.005821,0.006179,5.80,40
3,0.005981,0.000458,0.005524,0.005981,7.65,40
3,0.006419,0.000510,0.005909,0.006419,7.95,40
6,0.006627,0.000824,0.005802,0.006627,12.44,40
6,0.006867,0.000884,0.005983,0.006867,12.87,40
5,0.006542,0.000707,0.005834,0.006542,10.81,40
2,0.005908,0.000321,0.005587,0.005908,5.43,40
6,0.006371,0.000887,0.005485,0.006371,13.91,40
3,0.006128,0.000576,0.005552,0.006128,9.41,40
2,0.005827,0.000362,0.005465,0.005827,6.22,40
5,0.005922,0.000625,0.005297,0.005922,10.55,40
2,0.005885,0.000430,0.005455,0.005885,7.31,40
3,0.006252,0.000483,0.005769,0.006252,7.72,40
2,0.006180,0.000430,0.005750,0.006180,6.96,40
5,0.007229,0.000707,0.006522,0.007229,9.78,40
2,0.006602,0.000356,0.006246,0.006602,5.39,40
5,0.007722,0.000753,0.006969,0.007722,9.75,40
5,0.006376,0.000654,0.005722,0.006376,10.26,40
6,0.006276,0.000847,0.005429,0.006276,13.50,40
3,0.006593,0.000512,0.006081,0.006593,7.76,40
6,0.007152,0.000874,0.006278,0.007152,12.22,40
4,0.006761,0.000711,0.006050,0.006761,10.52,40
3,0.005762,0.000487,0.005275,0.005762,8.46,40
3,0.007106,0.001057,0.006049,0.007106,14.87,40
2,0.005700,0.000615,0.005085,0.005700,10.79,40
2,0.006841,0.000388,0.006453,0.006841,5.67,40
5,0.006645,0.000602,0.006044,0.006645,9.05,40
3,0.006941,0.000634,0.006307,0.006941,9.14,40
5,0.007368,0.000718,0.006650,0.007368,9.75,40
5,0.007741,0.000869,0.006872,0.007741,11.23,40
2,0.007127,0.000370,0.006757,0.007127,5.19,40
5,0.006719,0.000719,0.006000,0.006719,10.69,40
3,0.006408,0.000482,0.005926,0.006408,7.52,40
3,0.005916,0.000645,0.005271,0.005916,10.90,40
2,0.005986,0.000343,0.005643,0.005986,5.74,40
5,0.007202,0.000764,0.006438,0.007202,10.60,40
2,0.005974,0.000379,0.005594,0.005974,6.35,40
4,0.006356,0.000630,0.005726,0.006356,9.91,40
4,0.006698,0.000686,0.006012,0.006698,10.24,40
2,0.006307,0.000397,0.005909,0.006307,6.30,40
