num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
3,0.000530,0.000000,0.000459,0.000459,86.5,1952
4,0.000594,0.000000,0.000527,0.000527,88.7,1952
6,0.000676,0.000000,0.000618,0.000618,91.4,1952
3,0.000449,0.000000,0.000373,0.000373,83.0,1952
4,0.000530,0.000000,0.000449,0.000449,84.7,1952
3,0.000385,0.000000,0.000306,0.000306,79.5,1952
3,0.000532,0.000000,0.000457,0.000457,85.9,1952
6,0.000641,0.000000,0.000587,0.000587,91.6,1952
6,0.000726,0.000000,0.000678,0.000678,93.3,1952
4,0.000473,0.000000,0.000408,0.000408,86.2,1952
4,0.000536,0.000000,0.000461,0.000461,86.0,1952
5,0.000944,0.000000,0.000648,0.000648,68.6,1952
4,0.000383,0.000000,0.000307,0.000307,80.2,1952
4,0.000414,0.000000,0.000318,0.000318,76.8,1952
6,0.000459,0.000000,0.000395,0.000395,86.1,1952
6,0.000492,0.000000,0.000427,0.000427,86.7,1952
2,0.000250,0.000000,0.000176,0.000176,70.3,1952
5,0.000419,0.000000,0.000349,0.000349,83.3,1952
4,0.000362,0.000000,0.000284,0.000284,78.4,1952
2,0.000247,0.000000,0.000135,0.000135,54.6,1952
6,0.000583,0.000000,0.000500,0.000500,85.7,1952
3,0.000348,0.000000,0.000246,0.000246,70.6,1952
6,0.000491,0.000000,0.000428,0.000428,87.2,1952
4,0.000353,0.000000,0.000284,0.000284,80.5,1952
2,0.000251,0.000000,0.000147,0.000147,58.5,1952
6,0.000605,0.000000,0.000533,0.000533,88.2,1952
6,0.000539,0.000000,0.000461,0.000461,85.5,1952
3,0.000318,0.000000,0.000232,0.000232,73.0,1952
2,0.000252,0.000000,0.000159,0.000159,63.0,1952
2,0.000241,0.000000,0.000160,0.000160,66.5,1952
2,0.000589,0.000000,0.000175,0.000175,29.7,1952
5,0.000486,0.000000,0.000413,0.000413,85.0,1952
5,0.000475,0.000000,0.000376,0.000376,79.1,1952
6,0.000550,0.000000,0.000468,0.000468,85.0,1952
5,0.000475,0.000000,0.000385,0.000385,81.1,1952
2,0.000275,0.000000,0.000180,0.000180,65.5,1952
4,0.000396,0.000000,0.000321,0.000321,81.0,1952
2,0.000266,0.000000,0.000182,0.000182,68.5,1952
6,0.000543,0.000000,0.000445,0.000445,82.0,1952
5,0.000493,0.000000,0.000411,0.000411,83.4,1952
5,0.000397,0.000000,0.000366,0.000366,92.3,1952
2,0.000261,0.000000,0.000145,0.000145,55.5,1952
5,0.000410,0.000000,0.000339,0.000339,82.8,1952
5,0.000427,0.000000,0.000361,0.000361,84.5,1952
4,0.000471,0.000000,0.000370,0.000370,78.6,1952
2,0.000252,0.000000,0.000155,0.000155,61.5,1952
5,0.000427,0.000000,0.000329,0.000329,77.0,1952
2,0.000260,0.000000,0.000144,0.000144,55.4,1952
3,0.000300,0.000000,0.000220,0.000220,73.2,1952
2,0.000252,0.000000,0.000158,0.000158,62.7,1952
4,0.000387,0.000000,0.000300,0.000300,77.6,1952
5,0.000431,0.000000,0.000348,0.000348,80.7,1952
4,0.000355,0.000000,0.000278,0.000278,78.3,1952
5,0.000448,0.000000,0.000342,0.000342,76.3,1952
4,0.000403,0.000000,0.000314,0.000314,77.9,1952
4,0.000403,0.000000,0.000325,0.000325,80.6,1952
3,0.000294,0.000000,0.000220,0.000220,74.7,1952
6,0.000486,0.000000,0.000419,0.000419,86.3,1952
3,0.000298,0.000000,0.000210,0.000210,70.5,1952
3,0.000353,0.000000,0.000209,0.000209,59.2,1952
4,0.000401,0.000000,0.000303,0.000303,75.6,1952
2,0.000261,0.000000,0.000152,0.000152,58.3,1952
2,0.000244,0.000000,0.000155,0.000155,63.5,1952
5,0.000399,0.000000,0.000329,0.000329,82.5,1952
4,0.000362,0.000000,0.000282,0.000282,77.9,1952
5,0.000412,0.000000,0.000348,0.000348,84.5,1952
4,0.000362,0.000000,0.000286,0.000286,79.1,1952
4,0.000359,0.000000,0.000284,0.000284,79.2,1952
2,0.000251,0.000000,0.000148,0.000148,58.9,1952
5,0.000457,0.000000,0.000360,0.000360,78.7,1952
2,0.000266,0.000000,0.000130,0.000130,48.9,1952
6,0.000525,0.000000,0.000452,0.000452,86.0,1952
5,0.000407,0.000000,0.000336,0.000336,82.6,1952
3,0.000331,0.000000,0.000240,0.000240,72.5,1952
4,0.000356,0.000000,0.000280,0.000280,78.7,1952
2,0.000268,0.000000,0.000161,0.000161,60.0,1952
2,0.000230,0.000000,0.000149,0.000149,64.8,1952
3,0.000318,0.000000,0.000228,0.000228,71.6,1952
6,0.000448,0.000000,0.000386,0.000386,86.2,1952
4,0.000343,0.000000,0.000269,0.000269,78.5,1952
5,0.000410,0.000000,0.000342,0.000342,83.5,1952
4,0.000341,0.000000,0.000262,0.000262,76.9,1952
2,0.000246,0.000000,0.000136,0.000136,55.2,1952
4,0.000359,0.000000,0.000290,0.000290,80.7,1952
3,0.000288,0.000000,0.000200,0.000200,69.4,1952
6,0.000466,0.000000,0.000394,0.000394,84.6,1952
5,0.000397,0.000000,0.000357,0.000357,89.9,1952
3,0.000570,0.000000,0.000591,0.000591,103.6,1952
4,0.000390,0.000000,0.000315,0.000315,80.8,1952
6,0.000455,0.000000,0.000400,0.000400,87.8,1952
3,0.000360,0.000000,0.000277,0.000277,76.9,1952
3,0.000370,0.000000,0.000292,0.000292,78.8,1952
5,0.000455,0.000000,0.000385,0.000385,84.6,1952
3,0.000380,0.000000,0.000263,0.000263,69.3,1952
3,0.000330,0.000000,0.000230,0.000230,69.8,1952
5,0.000492,0.000000,0.000422,0.000422,85.8,1952
2,0.000246,0.000000,0.000149,0.000149,60.5,1952
3,0.000302,0.000000,0.000224,0.000224,74.1,1952
5,0.000434,0.000000,0.000362,0.000362,83.3,1952
5,0.000401,0.000000,0.000342,0.000342,85.2,1952
4,0.000352,0.000000,0.000245,0.000245,69.6,1952
5,0.000464,0.000000,0.000389,0.000389,83.9,1952
6,0.000474,0.000000,0.000419,0.000419,88.3,1952
6,0.000453,0.000000,0.000392,0.000392,86.6,1952
5,0.000397,0.000000,0.000332,0.000332,83.6,1952
2,0.000241,0.000000,0.000144,0.000144,59.8,1952
5,0.000403,0.000000,0.000325,0.000325,80.6,1952
3,0.000297,0.000000,0.000209,0.000209,70.4,1952
4,0.000454,0.000000,0.000390,0.000390,85.9,1952
3,0.000393,0.000000,0.000302,0.000302,76.9,1952
4,0.000485,0.000000,0.000420,0.000420,86.6,1952
4,0.000504,0.000000,0.000434,0.000434,86.1,1952
4,0.000398,0.000000,0.000327,0.000327,82.1,1952
2,0.000290,0.000000,0.000194,0.000194,66.9,1952
4,0.000439,0.000000,0.000367,0.000367,83.6,1952
4,0.000446,0.000000,0.000380,0.000380,85.1,1952
4,0.000531,0.000000,0.000424,0.000424,79.9,1952
6,0.000735,0.000000,0.000672,0.000672,91.5,1952
5,0.000615,0.000000,0.000529,0.000529,86.0,1952
5,0.000630,0.000000,0.000568,0.000568,90.2,1952
2,0.000295,0.000000,0.000206,0.000206,69.9,1952
4,0.000541,0.000000,0.000479,0.000479,88.5,1952
5,0.000519,0.000000,0.000434,0.000434,83.6,1952
5,0.000711,0.000000,0.000642,0.000642,90.3,1952
6,0.000795,0.000000,0.000710,0.000710,89.3,1952
4,0.000578,0.000000,0.000509,0.000509,88.1,1952
6,0.000535,0.000000,0.000463,0.000463,86.6,1952
5,0.000466,0.000409,0.000000,0.000409,87.7,1952
4,0.000491,0.000414,0.000000,0.000414,84.3,1952
4,0.000388,0.000289,0.000000,0.000289,74.6,1952
2,0.000254,0.000155,0.000000,0.000155,61.1,1952
2,0.000256,0.000154,0.000000,0.000154,60.2,1952
6,0.000484,0.000421,0.000000,0.000421,87.1,1952
4,0.000356,0.000287,0.000000,0.000287,80.6,1952
4,0.000357,0.000282,0.000000,0.000282,79.1,1952
2,0.000232,0.000148,0.000000,0.000148,63.8,1952
2,0.000252,0.000141,0.000000,0.000141,56.0,1952
6,0.000490,0.000422,0.000000,0.000422,86.2,1952
6,0.000460,0.000398,0.000000,0.000398,86.5,1952
2,0.000254,0.000145,0.000000,0.000145,57.0,1952
