num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
6,0.004629,0.000601,0.004029,0.004629,12.97,40
2,0.004036,0.000237,0.003798,0.004036,5.88,40
5,0.005046,0.000602,0.004444,0.005046,11.93,40
2,0.004142,0.000224,0.003917,0.004142,5.42,40
4,0.004814,0.000443,0.004370,0.004814,9.21,40
5,0.006200,0.000598,0.005601,0.006200,9.65,40
6,0.006034,0.000659,0.005375,0.006034,10.92,40
3,0.005111,0.000450,0.004661,0.005111,8.81,40
4,0.005188,0.000474,0.004714,0.005188,9.13,40
2,0.004147,0.000219,0.003928,0.004147,5.29,40
6,0.005084,0.000657,0.004427,0.005084,12.92,40
4,0.004494,0.000424,0.004071,0.004494,9.43,40
2,0.004476,0.000243,0.004233,0.004476,5.42,40
5,0.005133,0.000575,0.004558,0.005133,11.20,40
4,0.004633,0.000442,0.004190,0.004633,9.55,40
5,0.004960,0.000597,0.004363,0.004960,12.04,40
6,0.004951,0.000629,0.004322,0.004951,12.71,40
6,0.004627,0.000600,0.004027,0.004627,12.97,40
3,0.004913,0.000413,0.004499,0.004913,8.42,40
5,0.004923,0.000615,0.004308,0.004923,12.49,40
4,0.005078,0.000533,0.004545,0.005078,10.50,40
3,0.004884,0.000460,0.004425,0.004884,9.41,40
5,0.004863,0.000522,0.004340,0.004863,10.74,40
5,0.004795,0.000572,0.004223,0.004795,11.93,40
2,0.004457,0.000258,0.004199,0.004457,5.80,40
3,0.004258,0.000319,0.003939,0.004258,7.49,40
3,0.004731,0.000372,0.004359,0.004731,7.87,40
3,0.004401,0.000342,0.004059,0.004401,7.77,40
4,0.004721,0.000466,0.004256,0.004721,9.87,40
5,0.004568,0.000505,0.004063,0.004568,11.05,40
6,0.005314,0.000674,0.004640,0.005314,12.68,40
5,0.007368,0.001749,0.005618,0.007368,23.74,40
2,0.006733,0.000506,0.006228,0.006733,7.51,40
3,0.005429,0.000363,0.005066,0.005429,6.68,40
5,0.004927,0.000584,0.004344,0.004927,11.84,40
5,0.006033,0.000589,0.005443,0.006033,9.77,40
